name,city,income,credit_score,loan_amount,years_employed,points,loan_approved,monthly_current_bill,family_recharge_bill,previous_loan_paid
Riya Pillai,Raipur,415341.23,383,102521.94,3,50,FALSE,3141.101215,850.8591665,No
Rohan Yadav,Aurangabad,1182983.61,831,296880.69,16,75,TRUE,2937.883597,2419.140759,Yes
Priya Bose,Meerut,192446.53,466,22822.91,32,45,FALSE,4885.297924,1816.572483,Yes
Ishita Sharma,Vijayawada,922335.35,333,293111.75,10,40,FALSE,5330.24654,1257.495582,No
Aditi Jain,Udaipur,234410.2,596,430631.14,33,55,FALSE,674.1061319,1805.81631,Yes
Sai Menon,Guwahati,526687.3,446,121658.38,37,60,TRUE,2763.222974,918.8768336,Yes
Riya Jain,Jamshedpur,664192.82,302,302664.72,35,45,FALSE,2647.84378,1409.267956,No
Aditi Gupta,Aligarh,649892.19,686,285152.99,38,60,TRUE,1224.383786,1699.705894,No
Karthik Yadav,Guwahati,1193029.11,633,395957.1,39,60,TRUE,2041.579379,1843.389284,No
Riya Sharma,Vijayawada,1107935.73,753,123044.24,17,70,TRUE,2433.930321,1419.646394,Yes
Sneha Nair,Bhopal,968487.07,387,262467.58,39,45,FALSE,5194.146943,1831.316537,No
Naveen Bose,Mysuru,496555.62,319,417373.57,34,60,TRUE,3609.316262,563.3372644,No
Divya Verma,Bengaluru,463108.07,754,187117.41,34,95,TRUE,3076.295975,2014.038872,Yes
Sneha Pandey,Bhopal,203889.15,324,388767.49,20,25,FALSE,3334.819024,807.961962,No
Aditi Pillai,Raipur,1180687.93,561,261924.67,9,30,FALSE,3977.536306,1508.954624,No
Krishna Reddy,Jodhpur,290895.55,605,296789.91,6,35,FALSE,1504.526007,2408.766468,No
Arjun Pillai,Coimbatore,665083.6,353,68260.75,15,45,FALSE,926.1792311,624.4642862,Yes
Pooja Pandey,Jodhpur,627191.36,362,367835.86,29,45,FALSE,3116.558087,2862.139739,No
Vihaan Sharma,Indore,373893.79,403,46557.44,35,55,FALSE,989.5143887,1648.016467,No
Arjun Iyer,Jodhpur,923682.86,508,148950.46,23,45,FALSE,3194.530166,2235.029627,No
Ananya Joshi,Thiruvananthapuram,691449.47,762,222097.26,0,80,TRUE,2402.970715,2295.295513,No
Divya Nambiar,Hubballi,314175.04,793,74754.63,38,75,TRUE,2383.221574,1876.630899,Yes
Krishna Chatterjee,Kolkata,187633.08,588,457567.19,10,50,FALSE,3907.50613,2579.69374,No
Aditya Sharma,Rajkot,917868.56,586,416468.84,13,60,TRUE,3328.934337,1009.104408,Yes
Praveen Pandey,Shimla,1160510.32,579,363465.85,20,50,FALSE,1705.704504,473.4362394,No
Ananya Nair,Bhubaneshwar,791346.96,787,33302.49,0,70,TRUE,1828.159329,668.7368162,Yes
Meera Das,Kolkata,1104870.71,383,452396.24,4,35,FALSE,1413.79608,3113.439863,Yes
Sanjay Das,Surat,1060080.43,685,363513.86,22,65,TRUE,2884.245411,2104.043693,No
Priya Reddy,Salem,1178001.47,755,224230.59,14,90,TRUE,3764.3896,2052.490727,No
Riya Thakur,Aurangabad,825147.64,526,349579.29,31,25,FALSE,5435.767627,1951.400269,No
Riya Verma,Gurugram,399600.9,705,417589.92,17,70,TRUE,3127.759828,2179.113138,Yes
Ishita Mishra,Nagpur,777073.19,366,344078.28,16,60,TRUE,4067.83961,289.0787882,Yes
Meera Pillai,Salem,867909.17,845,133095.24,16,80,TRUE,534.2964808,2533.975267,No
Rakesh Yadav,Dehradun,770135.23,630,436776.67,26,60,TRUE,3254.54741,1642.939318,No
Divya Pandey,Nashik,771480.19,529,424599.58,17,60,TRUE,3057.261125,838.5984985,Yes
Rajesh Tiwari,Rajkot,936819.14,325,387122.61,14,50,FALSE,1174.085552,2565.926995,Yes
Sanjay Menon,Shimla,897569.01,618,221769.99,40,75,TRUE,3745.148474,2092.673568,No
Karthik Singh,Ranchi,1168961.52,556,141991.63,6,50,FALSE,5315.375682,2782.718018,No
Pooja Thakur,Madurai,223827.94,374,151693.93,39,25,FALSE,4288.619631,1060.030352,Yes
Ishita Kumar,Chennai,644345.19,686,267799.94,4,70,TRUE,3668.386152,254.1252493,Yes
Aditi Verma,Vijayawada,1121955.2,367,241121.07,3,50,FALSE,4296.276027,290.6700433,No
Pooja Gupta,Varanasi,511222.48,310,135357.54,24,55,FALSE,4866.822858,3051.786872,No
Rakesh Chatterjee,Chandigarh,162577.99,764,204895.55,21,85,TRUE,2122.100819,2720.616937,No
Sneha Nair,Vadodara,211512.31,429,386793.6,32,40,FALSE,3736.047493,1822.88432,No
Aditya Yadav,Mysuru,1124422.49,345,141706.5,8,50,FALSE,4358.498308,2310.273532,No
Meera Menon,Vadodara,1045834.09,449,387370.54,30,30,FALSE,4272.686774,2617.353934,No
Vikram Yadav,Tiruchirappalli,603059.7,358,64948.66,32,50,FALSE,2256.228954,1620.020538,No
Sanjay Patel,Bhubaneshwar,1047380.7,506,271990.49,21,50,FALSE,1811.708658,282.1894189,No
Karthik Nambiar,Noida,419806.2,636,321468.62,6,70,TRUE,3215.127416,2336.767079,Yes
Aditya Rao,Hubballi,310522.86,535,479104.59,39,45,FALSE,3806.77211,2360.199904,No
Rohan Yadav,Gurugram,931871.58,510,437902.85,11,55,FALSE,3929.837709,3356.442892,Yes
Sai Das,Aurangabad,669169.86,445,202725.21,28,55,FALSE,2580.399017,619.4466709,No
Sanjay Thakur,Coimbatore,891456.8,478,327173.59,16,55,FALSE,5149.473568,1168.941862,Yes
Ishita Tiwari,Rajkot,450539.72,568,57317.16,1,40,FALSE,3568.34834,1841.469911,No
Aditya Joshi,Lucknow,756299.98,767,221880.46,23,90,TRUE,3462.263514,2258.47245,Yes
Krishna Pandey,Mysuru,1192337.79,421,404496.45,8,55,FALSE,1924.879017,1279.535825,No
Meera Das,Madurai,947033.12,550,479288.95,39,60,TRUE,602.8374746,1648.610799,Yes
Sai Das,Jaipur,568365.63,586,474949.39,32,75,TRUE,3577.256954,1379.912601,Yes
Vikram Das,Vijayawada,669959.49,471,46696.6,24,50,FALSE,5013.11792,1838.92466,No
Aditya Joshi,Bengaluru,433522.2,629,191411.56,23,60,TRUE,938.1613391,859.1427283,No
Tanvi Reddy,Bhopal,264107.73,337,313523.76,14,60,TRUE,899.7155503,460.5495937,Yes
Praveen Jain,Tiruchirappalli,522829.85,686,477260.35,10,60,TRUE,2008.850021,525.6977921,No
Ishita Sharma,Meerut,426806.89,755,281423.11,22,80,TRUE,2475.470637,1071.725445,Yes
Sanjay Kumar,Bhubaneshwar,364005.05,742,202466.79,23,70,TRUE,777.9672139,1576.829531,Yes
Rakesh Singh,Amritsar,1032350.61,377,49293.22,5,35,FALSE,4020.773351,560.9962591,No
Riya Iyer,Gurugram,904073.15,400,173005.37,4,40,FALSE,1070.466696,359.1012142,No
Pooja Kumar,Kochi,975592.73,495,353806.03,38,40,FALSE,1053.33375,604.5150796,No
Sneha Chatterjee,Patna,483288.04,713,122931.06,37,50,FALSE,4307.271636,1163.659317,No
Naveen Iyer,Amritsar,688770.17,532,224277.7,13,40,FALSE,1545.763549,1842.616952,No
Tanvi Bose,Gurugram,306697.98,648,296121.76,20,65,TRUE,1461.788379,1595.001102,Yes
Sneha Joshi,Kozhikode,662046.53,330,498930.39,8,50,FALSE,5173.463079,2398.347883,No
Divya Pillai,Mysuru,198135.88,647,468460.97,26,70,TRUE,2356.635591,1362.598305,Yes
Vihaan Patel,Madurai,616648.08,332,462819.94,9,55,FALSE,4659.502975,2937.600319,No
Pooja Pandey,Gurugram,193317.61,700,392811.28,34,80,TRUE,4265.62916,947.2002991,No
Rajesh Bose,Indore,800128.45,395,456933.53,6,55,FALSE,5026.224152,1452.902028,No
Sanjay Yadav,Pune,1002096.01,371,185201.13,18,35,FALSE,3594.144587,2642.999673,No
Meera Sharma,Salem,454566.37,311,177859.2,20,60,TRUE,2554.760826,1070.887847,Yes
Naveen Patel,Gwalior,411184.65,370,466852.22,13,45,FALSE,3904.626125,2897.620632,No
Vihaan Nair,Gurugram,1029392.74,617,202826.55,12,40,FALSE,1546.983731,3069.723238,No
Sanjay Verma,Hubballi,911664.9,552,284683.32,21,50,FALSE,4415.581678,2840.672558,No
Praveen Nambiar,Dehradun,968031.99,655,295242.57,19,60,TRUE,1053.686318,2070.38152,Yes
Ishita Chatterjee,Nagpur,745748.74,768,476221.49,11,60,TRUE,4224.967776,1281.394014,Yes
Rajesh Nambiar,Bengaluru,900610.66,580,399853.3,34,65,TRUE,3938.499772,1791.509398,Yes
Vihaan Verma,Kozhikode,811887.63,424,485842.52,4,35,FALSE,948.5344494,403.883734,No
Rakesh Patel,Pune,514478.66,512,320798.98,2,40,FALSE,2521.418408,1262.246646,No
Rakesh Iyer,Gwalior,785883.88,499,182129.48,2,40,FALSE,5245.589298,2977.581795,No
Praveen Rao,Meerut,347467.15,796,168686.33,4,75,TRUE,2006.341637,1286.382183,Yes
Divya Mishra,Bhubaneshwar,834443.43,465,303422.12,1,15,FALSE,2417.090887,3032.207237,No
Meera Pillai,Visakhapatnam,923127.33,579,244015.11,28,30,FALSE,3982.111575,947.9519744,Yes
Sai Tiwari,Delhi,578409.71,835,85712.85,6,85,TRUE,1364.298415,2679.838933,Yes
Divya Pandey,Srinagar,432389.83,555,498453.1,15,45,FALSE,2946.243485,2577.277458,No
Tanvi Das,Kochi,597226.79,525,436966.2,10,35,FALSE,3380.633797,2281.994102,No
Meera Jain,Udaipur,776594.64,512,92504.83,25,50,FALSE,1614.832348,2472.909035,No
Vikram Mishra,Noida,830521.7,711,168373.06,20,65,TRUE,1151.038451,2101.641989,Yes
Rohan Mishra,Raipur,254525.8,344,384820.87,13,45,FALSE,4352.474643,1537.098171,No
Aditi Pillai,Guwahati,222720.47,475,498126.83,6,20,FALSE,2836.966133,2362.562646,No
Aditi Reddy,Kochi,1129074.33,625,118794.89,30,50,FALSE,3661.126553,516.0648179,No
Pooja Patel,Noida,1030885.98,815,494526.77,0,65,TRUE,2491.201771,1869.337984,Yes
Sneha Reddy,Pune,1027647.97,549,54872.16,5,30,FALSE,4185.96416,2126.982386,No
Aarav Pillai,Mumbai,820184.64,338,455505.8,38,40,FALSE,2170.376228,2856.865234,No
Krishna Ghosh,Gwalior,243243.09,833,326190.64,18,85,TRUE,703.3287243,2474.544227,Yes
Krishna Yadav,Guwahati,743774.32,355,422675.04,15,35,FALSE,4414.037527,1902.395456,Yes
Vihaan Gupta,Mumbai,225154.85,752,105555.31,0,55,FALSE,2867.640357,770.2345759,No
Vikram Gupta,Rajkot,354339.79,428,116993.68,11,60,TRUE,1104.294133,1079.454138,Yes
Sanjay Jain,Indore,416615.86,778,290150.24,10,90,TRUE,3123.838556,1268.526197,Yes
Sneha Iyer,Amritsar,253584.61,759,150187.91,12,75,TRUE,4529.270147,1116.482741,Yes
Vihaan Thakur,Kanpur,712472.45,782,331341.58,27,70,TRUE,2333.643744,1888.699046,No
Sai Chatterjee,Jodhpur,962677.87,737,462091.5,19,85,TRUE,3511.801045,655.5615351,No
Tanvi Mishra,Mysuru,470047.83,764,394627.14,24,90,TRUE,1237.267441,1121.728592,Yes
Aditi Nambiar,Aligarh,477656.86,304,140524.71,32,55,FALSE,4238.220134,1958.804637,No
Riya Singh,Ahmedabad,819418.69,693,478189.58,19,60,TRUE,4397.681065,1005.514325,Yes
Aditi Verma,Aurangabad,167008.06,466,41609.73,27,60,TRUE,1838.329711,2081.756868,Yes
Arjun Singh,Pune,1035148.44,677,25273.57,3,40,FALSE,2642.936555,910.2410387,No
Vihaan Yadav,Vijayawada,666046.02,670,108706.87,1,50,FALSE,4348.684304,3254.038062,No
Ishita Tiwari,Srinagar,462061.8,560,419718.96,38,25,FALSE,4913.817949,2148.850003,No
Vikram Yadav,Vijayawada,988374.47,707,198940.47,37,75,TRUE,507.5423728,975.1616097,Yes
Rohan Rao,Bhopal,926330.72,558,281220.33,19,45,FALSE,2520.94537,883.7403245,No
Riya Pandey,Hyderabad,826175.86,411,294983.67,36,25,FALSE,4262.93028,953.3734281,No
Arjun Nambiar,Chennai,1131633.52,615,222952.83,10,70,TRUE,3061.418808,1372.179912,Yes
Rakesh Bose,Mangalore,865764.98,741,494827.31,11,80,TRUE,1201.418825,1714.297765,Yes
Aditya Kumar,Ahmedabad,394018.06,761,143355.76,13,85,TRUE,4500.549236,1332.650318,Yes
Rakesh Sharma,Nagpur,734284.04,718,250946.39,40,50,FALSE,3478.778576,2972.284768,No
Karthik Reddy,Raipur,653833.07,583,406253.8,21,75,TRUE,2549.617805,548.1656575,No
Tanvi Patel,Kolkata,243335.74,342,327364.69,13,60,TRUE,763.3447863,1987.93935,Yes
Arjun Ghosh,Salem,435455.57,645,120636.44,27,40,FALSE,4360.955876,1007.667136,No
Riya Joshi,Varanasi,342126.33,708,217119.28,39,80,TRUE,3334.830901,817.5282147,Yes
Sai Nair,Aurangabad,965536.3,442,444793.48,38,40,FALSE,4609.158739,2930.266893,No
Rajesh Sharma,Thiruvananthapuram,601034.92,786,423104.65,26,70,TRUE,3155.871965,1773.518337,Yes
Sanjay Mishra,Vijayawada,773110.13,346,107956.01,20,35,FALSE,2785.411504,2433.103983,No
Sneha Singh,Vijayawada,1063693.78,402,174806.69,24,50,FALSE,2014.345744,307.1369508,No
Naveen Yadav,Chandigarh,546791.05,608,36853.83,35,40,FALSE,4158.93829,916.0084039,No
Rakesh Singh,Jamshedpur,1169860.51,549,422214.92,10,55,FALSE,3426.455211,2456.308545,No
Meera Nambiar,Shimla,311024.63,464,172716.11,24,25,FALSE,5127.196136,2062.01618,Yes
Arjun Nambiar,Salem,854823.06,439,485647.15,40,35,FALSE,761.5111772,2501.558816,No
Praveen Pandey,Patna,926243.04,366,135144.14,21,25,FALSE,5424.022172,1163.972095,No
Ishita Iyer,Udaipur,159223.87,747,84899.71,14,85,TRUE,1176.014673,505.2987404,Yes
Riya Menon,Rajkot,408986.74,418,430232.95,23,50,FALSE,1650.203322,384.5773795,No
Naveen Sharma,Meerut,511504.18,494,489660.73,27,25,FALSE,5568.726889,2946.276276,No
Rajesh Bose,Raipur,770904.84,527,378088.24,25,60,TRUE,1165.642037,1825.156562,Yes
Krishna Jain,Salem,794121.15,766,376092.96,38,80,TRUE,2504.927544,297.5777591,Yes
Sai Sharma,Mysuru,268327.46,426,118482.72,36,50,FALSE,4062.347282,2905.881526,No
Ishita Verma,Ahmedabad,337322.47,456,308478.28,13,50,FALSE,5184.343901,1171.025978,No
Naveen Nair,Raipur,853252.99,701,358821.85,10,65,TRUE,3889.487594,2671.99133,Yes
Aditya Singh,Meerut,1014118.83,373,92299.59,18,50,FALSE,4508.903073,1164.301096,No
Sai Pillai,Thiruvananthapuram,170398.39,355,458539.83,19,40,FALSE,1600.126346,2621.444339,Yes
Rohan Jain,Aligarh,1049046.19,514,66894.24,12,40,FALSE,1971.440405,1718.484218,No
Sai Pandey,Patna,1169511.37,685,21976.99,10,75,TRUE,4052.132896,2358.859197,Yes
Aditya Thakur,Jamshedpur,721212.65,827,432813.24,21,90,TRUE,915.6746321,1061.643847,Yes
Meera Kumar,Rajkot,812234.6,546,334969.93,31,55,FALSE,2666.28002,1255.371858,No
Naveen Chatterjee,Chandigarh,975974.85,774,408233.95,24,85,TRUE,3752.706623,1746.96868,Yes
Ananya Verma,Hyderabad,759169.11,821,230459.92,1,55,FALSE,2023.322676,2868.535982,No
Krishna Pandey,Patna,656350.09,795,217181.59,27,85,TRUE,3160.418891,2663.536408,Yes
Aarav Bose,Patna,696564.05,320,186254.5,35,55,FALSE,5285.607584,1458.407703,No
Pooja Joshi,Jaipur,955619.65,427,335360.01,7,35,FALSE,2178.971146,3034.266856,No
Tanvi Jain,Mumbai,1199186.09,340,180750.98,36,45,FALSE,1388.970309,239.7023359,No
Naveen Pillai,Agra,384048.12,605,275086.7,34,40,FALSE,1964.886367,2107.564748,No
Karthik Das,Vijayawada,201244.95,831,184838.41,34,95,TRUE,3836.526662,804.9223112,Yes
Krishna Patel,Dehradun,446353.79,514,489721.88,6,20,FALSE,3649.438538,2152.488775,No
Priya Kumar,Nagpur,443281.12,520,318896.78,38,45,FALSE,2120.915429,2916.673435,Yes
Rakesh Patel,Udaipur,481880.13,566,254021.34,10,55,FALSE,3475.6083,351.8373367,No
Rakesh Iyer,Udaipur,1199956.73,848,106822.59,4,85,TRUE,3004.573469,451.3802223,Yes
Rakesh Mishra,Kolkata,1055327.58,823,443074.47,10,90,TRUE,2342.015647,2085.988119,Yes
Rakesh Patel,Surat,778552.68,379,230101.45,7,45,FALSE,5189.820764,1499.353703,No
Vihaan Patel,Raipur,1170993.29,641,441830.66,9,60,TRUE,2805.514915,2220.519517,Yes
Riya Iyer,Kanpur,1065893.28,687,80948.04,7,80,TRUE,4003.72293,832.8336749,Yes
Riya Iyer,Ranchi,250676.81,588,438260.86,17,50,FALSE,4166.669445,1619.614568,No
Karthik Patel,Rajkot,1083020.6,712,413136.4,37,50,FALSE,4094.579672,293.5751603,Yes
Vihaan Menon,Mangalore,171308.7,687,129790.39,17,75,TRUE,2863.656729,204.191322,Yes
Sneha Pillai,Kanpur,436767.66,768,140035.35,28,90,TRUE,2652.398922,2193.664949,Yes
Tanvi Tiwari,Bengaluru,952163.56,612,169704.8,5,60,TRUE,4124.552647,281.2247026,Yes
Sneha Nambiar,Guwahati,305088.62,395,250934.38,36,55,FALSE,773.1193026,778.3923946,No
Rajesh Tiwari,Aurangabad,1123406.42,734,186950.14,32,60,TRUE,1675.669921,2571.541407,Yes
Naveen Chatterjee,Jaipur,734153.27,307,480541.29,27,25,FALSE,4292.586438,878.1048586,No
Sneha Mishra,Mangalore,533814.42,836,95422.39,11,95,TRUE,1653.877722,1174.562006,No
Riya Verma,Noida,311033.36,682,105066.18,21,85,TRUE,2678.304529,205.5711043,Yes
Vikram Verma,Indore,712111.74,571,212326.65,0,30,FALSE,2761.069667,1868.98996,No
Krishna Menon,Madurai,301624.88,336,285414.38,39,55,FALSE,1055.790673,2415.2251,No
Rakesh Tiwari,Gwalior,306641.14,409,388716.76,22,60,TRUE,2412.207841,1600.390605,No
Vikram Patel,Lucknow,548431.42,841,155255.04,9,85,TRUE,3324.140913,294.3691587,Yes
Arjun Verma,Varanasi,976219.1,683,315845.28,23,80,TRUE,2963.191992,1714.444719,Yes
Naveen Pandey,Ahmedabad,567392.2,465,442034.29,22,35,FALSE,4756.192277,941.6328025,No
Vihaan Iyer,Agra,327699.45,341,119445.9,25,60,TRUE,1203.501797,2204.953484,Yes
Rohan Kumar,Bhopal,240390.02,572,75825.52,26,60,TRUE,500.9584059,379.2845977,Yes
Aditi Gupta,Aurangabad,219421.61,434,183534.68,6,55,FALSE,2825.341625,484.2217776,No
Aditi Iyer,Ranchi,362712.6,650,455686.24,38,40,FALSE,5079.950457,857.3088801,No
Pooja Tiwari,Jodhpur,411507.6,553,316973.19,9,35,FALSE,2863.670741,2685.642902,No
Naveen Chatterjee,Raipur,546923.43,739,177969.63,30,75,TRUE,480.2956142,2532.268545,No
Rakesh Gupta,Raipur,658118.57,452,349349.08,7,45,FALSE,2747.245233,1083.090235,Yes
Arjun Gupta,Gwalior,539885.32,504,107897.08,3,50,FALSE,2239.927378,1246.437269,No
Aditi Sharma,Salem,929482.74,790,236612.12,32,90,TRUE,747.6865534,550.0040085,Yes
Praveen Jain,Meerut,1066234.69,728,116432.14,20,50,FALSE,4862.405491,2382.21721,Yes
Aditi Reddy,Aligarh,661933.28,586,331035.89,6,50,FALSE,2780.827529,1671.921083,No
Rohan Bose,Surat,386285.52,313,375057.17,35,50,FALSE,1282.157472,1477.83739,No
Riya Joshi,Vadodara,707795.47,841,81882.46,23,75,TRUE,4220.9079,1047.226063,No
Vikram Iyer,Nagpur,877734.58,342,356886.65,12,25,FALSE,1226.801061,411.5851935,Yes
Krishna Chatterjee,Tiruchirappalli,1081388.92,506,446327.3,9,45,FALSE,1036.354563,2458.934862,No
Aditya Mishra,Rajkot,1074490.03,655,419226.15,28,60,TRUE,3011.792118,1382.902398,Yes
Aarav Verma,Kozhikode,790686.94,322,105194.35,38,60,TRUE,1891.056516,2078.924881,No
Sai Joshi,Jaipur,902612.28,707,353655.66,34,70,TRUE,3458.797613,1981.112965,No
Aditya Menon,Ranchi,560125.37,710,431936.98,17,50,FALSE,3742.349763,1451.170616,No
Praveen Joshi,Vadodara,195486.99,837,371454.77,19,90,TRUE,3094.370437,479.7582018,No
Aarav Chatterjee,Dehradun,848988.02,543,328770.97,2,35,FALSE,3466.747266,1981.685157,No
Karthik Pillai,Hubballi,1004559.49,352,127375.88,15,50,FALSE,4728.896017,1377.09215,Yes
Rakesh Rao,Udaipur,632370.78,570,293320.24,8,45,FALSE,4977.120462,2087.097399,No
Rakesh Kumar,Meerut,1145703.33,524,481217.16,17,50,FALSE,3779.082776,2893.65163,No
Riya Tiwari,Kanpur,1129716.49,563,111472.88,40,40,FALSE,2087.963831,401.8414996,No
Meera Nambiar,Mumbai,803972.52,704,91019.32,28,85,TRUE,3960.642494,2334.594831,Yes
Aditi Jain,Vadodara,422534.5,770,283120.05,11,75,TRUE,3081.008557,570.1221044,Yes
Rohan Thakur,Ahmedabad,959716.19,481,292386.44,38,45,FALSE,4242.660448,1889.227539,No
Vihaan Joshi,Vijayawada,465178.76,402,225205.05,33,35,FALSE,5121.708242,1418.390885,No
Ananya Sharma,Nagpur,242764.09,313,363125.74,2,40,FALSE,680.6785172,2795.599756,No
Priya Verma,Guwahati,1061699.28,646,392168.52,5,50,FALSE,4732.160565,2691.82324,No
Vihaan Tiwari,Mangalore,261289.33,639,216742.27,9,60,TRUE,2206.597036,1884.620454,Yes
Arjun Menon,Patna,989263.97,603,163209.07,32,60,TRUE,1416.041036,2483.951774,No
Aditya Mishra,Dehradun,231023.7,694,239691.37,22,85,TRUE,611.5721657,1297.107286,Yes
Aditya Pandey,Varanasi,470393.72,803,60806.87,7,95,TRUE,3157.835549,2268.760487,Yes
Ananya Sharma,Amritsar,879244.94,386,400781.5,38,60,TRUE,1658.939847,1319.936654,Yes
Divya Patel,Hyderabad,508443.35,608,232663.19,18,65,TRUE,1659.12867,1077.716038,Yes
Priya Yadav,Aurangabad,1013015.77,302,409915.95,9,45,FALSE,5372.640081,926.3169133,Yes
Karthik Gupta,Ranchi,635919.39,737,459928.51,17,65,TRUE,4145.463392,1565.238737,Yes
Riya Gupta,Thiruvananthapuram,689891.93,734,281646.15,26,70,TRUE,2934.133369,1068.302852,Yes
Riya Kumar,Chandigarh,1143436.58,809,491643.14,34,90,TRUE,2106.200523,2714.53565,No
Tanvi Ghosh,Tiruchirappalli,810836.69,389,418413.65,23,55,FALSE,1404.002712,1916.249001,Yes
Praveen Reddy,Shimla,767296.14,361,149399.11,23,55,FALSE,2384.716475,2786.254856,No
Vihaan Das,Thiruvananthapuram,413743.23,731,184997.94,13,65,TRUE,4180.954339,1612.425939,Yes
Tanvi Bose,Lucknow,925447.4,734,57972.69,3,55,FALSE,5554.921665,681.202958,Yes
Pooja Rao,Gurugram,151115.34,444,278230.77,15,60,TRUE,858.8083013,1595.050063,No
Ishita Rao,Pune,383672.81,443,198957.29,19,35,FALSE,725.9199788,1357.747543,No
Ananya Chatterjee,Ahmedabad,1096295.29,332,344334.16,11,50,FALSE,2248.026822,1593.499467,No
Krishna Rao,Salem,550772.59,813,124728.36,14,65,TRUE,2252.169985,2661.556689,Yes
Rohan Nair,Amritsar,362981.17,516,148037.73,39,35,FALSE,3267.306613,2482.333612,No
Aditya Chatterjee,Lucknow,333621.35,620,95972.08,25,65,TRUE,1484.571948,2422.996567,Yes
Ananya Chatterjee,Tiruchirappalli,343005.79,406,64765.81,23,55,FALSE,640.8116786,408.4051103,No
Rohan Menon,Amritsar,347122.01,366,126260.74,38,45,FALSE,1622.821985,3067.169758,No
Krishna Bose,Salem,330219.99,546,398574.16,5,50,FALSE,2336.701062,1917.713534,No
Tanvi Nair,Mysuru,795951.33,395,20806.04,0,35,FALSE,5056.423433,1798.465299,No
Aditi Jain,Pune,752728.14,432,379979.02,6,40,FALSE,5359.708487,2002.656562,No
Divya Rao,Ahmedabad,183930.05,691,136783.89,37,75,TRUE,3520.580511,1641.848509,No
Sai Sharma,Hyderabad,392014.87,537,109026.83,9,50,FALSE,1924.525963,965.8768994,No
Priya Menon,Gurugram,731545.83,647,54172.79,23,60,TRUE,4158.429866,333.6665664,Yes
Arjun Patel,Lucknow,889557.93,456,340189.7,40,35,FALSE,741.3017394,2841.112871,No
Praveen Rao,Salem,717540.36,810,456314.21,29,75,TRUE,1759.149748,1111.418658,Yes
Meera Iyer,Aurangabad,222434.13,391,318879,11,55,FALSE,4424.375451,267.1801606,No
Priya Jain,Kolkata,280757.31,443,41368.56,36,60,TRUE,4383.629432,2492.42096,Yes
Aarav Joshi,Patna,912149.25,621,52335.87,5,50,FALSE,3045.403225,1349.231364,No
Aditya Gupta,Srinagar,263881.59,550,130135.81,35,35,FALSE,2315.970456,1422.001989,No
Aarav Gupta,Dehradun,905561.79,374,479248.62,24,50,FALSE,4155.371182,3108.739367,No
Rakesh Mishra,Pune,1002530.37,411,420402.17,11,45,FALSE,5055.407287,2829.828838,No
Meera Pillai,Udaipur,444080.22,366,120046.45,21,45,FALSE,3896.991862,1564.654245,No
Rakesh Gupta,Bhopal,957292.93,459,345307.32,9,50,FALSE,893.0786913,1793.277252,Yes
Ananya Bose,Jaipur,1151035.78,740,33517.73,13,70,TRUE,3911.378374,1499.675439,Yes
Krishna Bose,Coimbatore,358749.25,385,152420.94,4,35,FALSE,5014.756824,1332.955587,No
Priya Tiwari,Patna,911339.69,519,280431.18,16,35,FALSE,5184.32909,2299.766939,No
Aditya Bose,Bhopal,1113037.92,468,207337.78,22,60,TRUE,1730.411267,972.4109096,Yes
Ishita Nair,Jaipur,970592.34,698,468423.33,35,85,TRUE,3827.438438,482.6438631,Yes
Arjun Kumar,Jaipur,311931.2,624,95405.13,9,70,TRUE,616.5480432,1186.935322,Yes
Ishita Verma,Salem,478412.75,569,466323.04,0,40,FALSE,936.2762577,2065.17379,No
Ishita Menon,Mysuru,655770.32,730,204180.96,34,60,TRUE,4215.007736,1564.390838,Yes
Riya Pandey,Bhopal,178449.14,314,259934.15,23,55,FALSE,3430.007809,1279.470599,Yes
Vihaan Pillai,Srinagar,723172.08,723,164581.22,22,50,FALSE,3901.643238,1617.60857,No
Divya Thakur,Aurangabad,263502.03,769,206310.54,23,80,TRUE,1939.138019,1778.550211,Yes
Ananya Iyer,Delhi,907010.43,590,45186.83,39,50,FALSE,3111.778481,2131.056856,No
Arjun Pandey,Surat,654670.88,316,33134.94,26,25,FALSE,1336.409905,2677.909717,No
Aditya Das,Udaipur,1042965.72,333,74310.27,18,35,FALSE,4814.56527,2601.437594,No
Vihaan Menon,Bhopal,805675.15,427,82551.08,29,55,FALSE,4357.648304,1378.831465,Yes
Rajesh Nair,Dehradun,1180004.89,529,452374.55,18,40,FALSE,4769.466002,1162.668512,Yes
Priya Mishra,Raipur,826084.24,724,123602.32,0,65,TRUE,926.1567171,1805.939829,Yes
Vikram Verma,Gwalior,838753.38,740,385159.06,35,90,TRUE,472.0249049,2036.348672,Yes
Divya Pillai,Udaipur,1182392.33,431,475294.53,24,50,FALSE,4109.727382,2882.038569,No
Rohan Nambiar,Gwalior,192519.46,429,86676.34,7,30,FALSE,962.6286383,2849.692555,No
Riya Nambiar,Lucknow,975826.27,630,363475.05,5,65,TRUE,3879.484193,978.8391332,No
Ishita Menon,Guwahati,1133848.36,380,85704.15,24,40,FALSE,3978.13434,2165.939489,Yes
Sanjay Menon,Nagpur,722963.83,604,163408.59,34,70,TRUE,4534.336864,1234.285826,Yes
Rakesh Pandey,Mysuru,321919.14,581,493182.36,9,70,TRUE,819.5405232,749.1028873,Yes
